context,question,answer,valid?
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,"Kapan seorang calon mahasiswa memperoleh status resmi sebagai mahasiswa UPN ""Veteran"" Jawa Timur?","Seorang calon mahasiswa mempunyai status resmi sebagai mahasiswa UPN ""Veteran"" Jawa Timur setelah dilantik pada upacara Penerimaan Mahasiswa Baru (PMB) dalam sidang Senat Terbuka.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,"Bagaimana tata cara penerimaan mahasiswa untuk program sarjana dan sarjana terapan di UPN ""Veteran"" Jawa Timur diatur?","Tata cara penerimaan program sarjana dan sarjana terapan diatur dalam Keputusan Rektor tentang Pedoman Penerimaan Mahasiswa Baru UPN ""Veteran"" Jawa Timur.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Apakah mahasiswa diperkenankan terdaftar pada lebih dari satu program studi di Perguruan Tinggi Negeri?,"Mahasiswa tidak diperkenankan terdaftar pada 2 (dua) program studi atau lebih pada Perguruan Tinggi Negeri (PTN), kecuali yang bersangkutan mengikuti program yang diselenggarakan oleh Pemerintah Indonesia melalui Kementerian Pendidikan dan Kebudayaan.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Apa tindakan yang akan dilakukan oleh Wakil Rektor Bidang Akademik (WR I) jika seorang mahasiswa terdaftar pada lebih dari satu program studi?,"Wakil Rektor Bidang Akademik (WR I) akan mengirimkan surat teguran kepada mahasiswa yang bersangkutan untuk segera menentukan program studi pilihannya, dengan tembusan kepada Dekan.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Berapa lama waktu yang diberikan kepada mahasiswa untuk menyampaikan pilihan program studinya setelah menerima surat teguran tertulis?,Mahasiswa harus menyampaikan pemberitahuan tertulis tentang pilihan program studinya kepada Wakil Rektor Bidang Akademik (WR I) selambat-lambatnya 20 (dua puluh) hari kerja terhitung sejak surat teguran tertulis diterbitkan.,
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Keputusan apa yang akan diterbitkan oleh Universitas terkait status mahasiswa setelah mereka menentukan pilihan program studi?,"Universitas akan menerbitkan Keputusan Rektor UPN ""Veteran"" Jawa Timur tentang pengunduran diri mahasiswa dari salah satu program studi.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Apa konsekuensi yang akan diterbitkan oleh Universitas jika mahasiswa mengundurkan diri dari salah satu program studi?,"Universitas akan menerbitkan Keputusan Rektor UPN ""Veteran"" Jawa Timur tentang pengunduran diri mahasiswa dari salah satu program studi.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Tindakan apa yang akan diambil oleh universitas apabila pilihan program studi tidak disampaikan dalam batas waktu yang ditentukan?,"Apabila pilihan program studi tidak disampaikan dalam batas waktu yang ditentukan, pihak universitas akan menerbitkan Keputusan Rektor UPN ""Veteran"" Jawa Timur tentang pemutusan hubungan studi.",
KURIKULUM,Apa tujuan perancangan kurikulum program sarjana dan sarjana terapan?,"Kurikulum dirancang untuk mencetak lulusan dengan kompetensi yang sesuai dengan rumusan capaian pembelajaran minimal, yaitu setara dengan jenjang 6 (enam) kualifikasi pada KKNI.",
KURIKULUM,Berbasis apakah kurikulum program sarjana dan sarjana terapan dilaksanakan?,Kurikulum program sarjana dan sarjana terapan dilaksanakan berbasis capaian pembelajaran lulusan yang memuat kompetensi utama.,
KURIKULUM,Kompetensi utama apa saja yang harus termuat dalam capaian pembelajaran lulusan program sarjana dan sarjana terapan?,Kompetensi utama yang harus termuat adalah menguasai konsep teoritis bidang pengetahuan dan keterampilan tertentu secara umum dan khusus untuk menyelesaikan masalah secara prosedural sesuai dengan lingkup pekerjaannya; dan mampu beradaptasi terhadap situasi perubahan yang dihadapi.,
KURIKULUM,"Apa dasar pelaksanaan kurikulum program sarjana dan sarjana terapan, serta kompetensi utama minimal apa yang harus dimuat?",Kurikulum program sarjana dan sarjana terapan dilaksanakan berbasis capaian pembelajaran lulusan yang memuat kompetensi utama minimal: Mampu menerapkan konsep teoritis bidang pengetahuan dan keterampilan tertentu secara umum dan khusus untuk menyelesaikan masalah secara prosedural sesuai dengan Lingkup pekerjaannya; dan Mampu beradaptasi terhadap situasi perubahan yang dihadapi.,
KURIKULUM,"Kapan peninjauan kurikulum dapat dilaksanakan, dan oleh pihak mana peninjauan tersebut harus disetujui?","Peninjauan kurikulum dapat dilakukan sesuai dengan perkembangan ilmu pengetahuan, teknologi, humaniora, dan seni atau dievaluasi secara teratur dalam kurun waktu tiga hingga lima tahun oleh program studi dan disetujui oleh senat fakultas.",
KURIKULUM,"Siapa yang menetapkan kurikulum, dan bagaimana mekanisme penyusunan serta peninjauan kurikulum diatur?","Kurikulum ditetapkan dalam Keputusan Dekan UPN ""Veteran"" Jawa Timur setelah memperoleh pertimbangan dari Senat Fakultas. Mekanisme penyusunan dan peninjauan kurikulum diatur dalam pedoman yang ditetapkan dalam Surat Keputusan Rektor.",
KURIKULUM,Bagaimana mekanisme penyusunan dan peninjauan kurikulum diatur?,Mekanisme penyusunan dan peninjauan kurikulum diatur dalam pedoman yang ditetapkan melalui Surat Keputusan Rektor.,
KURIKULUM,Apa saja komponen yang membentuk struktur kurikulum program studi?,"Struktur kurikulum program studi terdiri atas mata kuliah wajib, yang dirumuskan untuk mencapai kompetensi utama, dan mata kuliah pilihan, yang dipilih mahasiswa untuk memperluas wawasan serta memenuhi persyaratan beban minimal suatu jenjang pendidikan.",
KURIKULUM,Sebutkan mata kuliah yang termasuk dalam kategori wajib nasional dan wajib universitas.,"Mata kuliah wajib nasional terdiri atas Agama, Pancasila, Bahasa Indonesia, dan Kewarganegaraan, sedangkan mata kuliah wajib universitas meliputi Bahasa Inggris, Bela Negara, Kewirausahaan, dan Kepemimpinan.",
KURIKULUM,Apa saja mata kuliah yang termasuk dalam kategori wajib nasional?,"Mata kuliah wajib nasional terdiri atas Agama, Pancasila, Bahasa Indonesia, dan Kewarganegaraan.",
KURIKULUM,Berapa jumlah Satuan Kredit Semester (SKS) yang dialokasikan untuk mata kuliah Bahasa Inggris dan Bela Negara?,Mata kuliah Bahasa Inggris dialokasikan 3 SKS dan mata kuliah Bela Negara dialokasikan 3 SKS.,
KURIKULUM,"Apakah terdapat perbedaan mata kuliah wajib pada suatu program studi antara kelas reguler, kelas internasional, dan kelas kerjasama?","Tidak, mata kuliah wajib pada suatu program studi harus sama, baik kelas reguler, kelas internasional, maupun kelas kerjasama.",
KURIKULUM,Bagaimana ketentuan mata kuliah wajib pada suatu program studi di berbagai jenis kelas?,"Mata kuliah wajib pada suatu program studi harus sama untuk kelas reguler, kelas internasional, maupun kelas kerjasama.",
KURIKULUM,Apa kewajiban setiap mahasiswa terkait kelulusan mata kuliah dalam struktur kurikulum program studi?,"Setiap mahasiswa wajib lulus semua mata kuliah, baik mata kuliah wajib maupun mata kuliah pilihan yang tercakup dalam struktur kurikulum program studi.",
KURIKULUM,Pilihan perpaduan mata kuliah apa saja yang tersedia bagi mahasiswa?,"Setiap mahasiswa dapat memilih perpaduan antara mata kuliah wajib dan mata kuliah pilihan pada program studi tersebut; atau mata kuliah wajib dan mata kuliah yang dipilih dari berbagai program studi/fakultas lain baik di dalam maupun di luar UPN ""Veteran"" Jawa Timur.",
KEMAMPUAN BERBAHASA INGGRIS,Apa saja standar minimal kemampuan bahasa Inggris yang dipersyaratkan bagi mahasiswa program sarjana dan sarjana terapan?,"Standar minimal kemampuan bahasa Inggris yang dipersyaratkan bagi mahasiswa program sarjana dan sarjana terapan adalah International Certificate JETSET Level 4 - Pearson-LCCI - UK (setara dengan IBT-TOEFL 57-86) atau Institusional Certificate English Proficiency Test/EPT 450 LC-UPN ""Veteran"" Jawa Timur (setara dengan ITP-TOEFL 450).",
KEMAMPUAN BERBAHASA INGGRIS,Tindakan apa yang wajib dilakukan oleh mahasiswa baru terkait kemampuan berbahasa Inggris?,"Mahasiswa baru wajib melakukan tes kemampuan awal berbahasa Inggris di Laboratorium Bahasa Unit Pendukung Akademik-Bahasa UPN ""Veteran"" Jawa Timur.",
KEMAMPUAN BERBAHASA INGGRIS,Untuk keperluan apakah kemampuan berbahasa Inggris yang dipersyaratkan bagi mahasiswa tersebut digunakan?,Kemampuan berbahasa Inggris yang dipersyaratkan tersebut digunakan sebagai syarat untuk tugas akhir (skripsi).,
KEMAMPUAN BERBAHASA INGGRIS,Untuk keperluan apa kemampuan berbahasa Inggris diperlukan terkait dengan tugas akhir?,Kemampuan berbahasa Inggris diperlukan sebagai syarat untuk tugas akhir (skripsi).,
KEMAMPUAN BERBAHASA INGGRIS,"Dalam konteks program, untuk jenis program apa saja kemampuan berbahasa Inggris digunakan sebagai syarat seleksi?",Kemampuan berbahasa Inggris digunakan sebagai syarat untuk mengikuti seleksi program akademik dan non-akademik di tingkat nasional/internasional.,
KEMAMPUAN BERBAHASA INGGRIS,Persyaratan apa yang harus dipenuhi dalam penggunaan kemampuan berbahasa Inggris untuk seleksi program akademik dan non-akademik?,Penggunaan kemampuan berbahasa Inggris untuk seleksi program akademik dan non-akademik di tingkat nasional/internasional harus sesuai dengan persyaratan yang ditetapkan oleh penyelenggara program.,
MASA DAN BEBAN BELAJAR,Berapa lama masa tempuh kurikulum dan batas maksimal masa studi untuk program pendidikan sarjana dan sarjana terapan?,"Masa tempuh kurikulum program pendidikan sarjana dan sarjana terapan dirancang selama 8 (delapan) semester, dengan batas maksimal masa studi 14 (empat belas) semester.",
MASA DAN BEBAN BELAJAR,Berapakah ketentuan maksimal beban SKS yang wajib diambil oleh mahasiswa program sarjana dan sarjana terapan pada setiap semester?,"Mahasiswa program sarjana dan sarjana terapan wajib mengambil beban paling banyak 20 (dua puluh) SKS atau paket pada Semester 1 dan Semester 2, serta paling banyak 24 (dua puluh empat) SKS pada Semester 3 dan seterusnya.",
MASA DAN BEBAN BELAJAR,Apakah ada ketentuan khusus terkait masa studi bagi mahasiswa yang memiliki prestasi luar biasa?,"Mahasiswa yang mempunyai prestasi luar biasa dapat menempuh beban belajar 144 SKS, termasuk tugas akhir atau skripsi, dalam waktu kurang dari 4 tahun.",
MASA DAN BEBAN BELAJAR,Apa konsekuensi yang akan diterima mahasiswa jika telah mencapai batas studi namun belum menyelesaikannya?,Mahasiswa yang telah mencapai batas studi 7 tahun (14 Semester) dan belum menyelesaikan studinya akan diputus studinya dan dinyatakan drop out (DO).,
MASA DAN BEBAN BELAJAR,"Siapa yang bertanggung jawab melakukan evaluasi dan analisis terhadap masa studi dan beban studi mahasiswa, serta kapan kegiatan tersebut dilaksanakan?",Program studi melalui Gugus Penjaminan Mutu Program Studi melakukan evaluasi dan analisis setiap semester terhadap masa studi dan beban studi mahasiswa.,
MASA DAN BEBAN BELAJAR,Bagaimana cara mahasiswa dapat memenuhi masa dan beban belajar sesuai ketentuan?,"Pemenuhan masa dan beban belajar dapat dilaksanakan dengan cara mengikuti seluruh proses pembelajaran dalam Program Studi pada Perguruan Tinggi sesuai masa dan beban belajar, atau mengikuti proses pembelajaran di dalam Program Studi untuk memenuhi sebagian masa dan beban belajar dan sisanya mengikuti proses pembelajaran di luar Program Studi.",
MASA DAN BEBAN BELAJAR,Apa kewajiban Program Studi dan Fakultas terkait pelaksanaan masa dan beban belajar dalam proses pembelajaran?,Program Studi dan Fakultas wajib memfasilitasi pelaksanaan pemenuhan masa dan beban belajar dalam proses pembelajaran.,
MASA DAN BEBAN BELAJAR,Berapa batas waktu minimal dan maksimal untuk pembelajaran yang dilaksanakan di dalam Program Studi?,Pembelajaran di dalam Program Studi harus dilaksanakan paling sedikit 4 (empat) semester dan paling lama 11 (sebelas) semester.,
MASA DAN BEBAN BELAJAR,Bagaimanakah ketentuan masa dan beban belajar untuk pembelajaran yang dilakukan di luar Program Studi atau di luar Perguruan Tinggi?,"Pembelajaran di luar Program Studi pada Perguruan Tinggi yang sama adalah 1 (satu) semester atau setara dengan 20 (dua puluh) sks, sedangkan pembelajaran pada Program Studi yang sama di Perguruan Tinggi yang berbeda, pada Program Studi yang berbeda di Perguruan Tinggi yang berbeda, dan/atau pembelajaran di luar Perguruan Tinggi paling lama 2 (dua) semester atau setara dengan 40 (empat puluh) SKS.",
MASA DAN BEBAN BELAJAR,Kegiatan wajib apakah yang harus dilaksanakan oleh Program Studi Sarjana Terapan?,Program Studi Sarjana Terapan wajib melaksanakan kegiatan magang.,
MASA DAN BEBAN BELAJAR,Berapa lama durasi dan berapa jumlah satuan kredit semester (SKS) yang setara untuk kegiatan magang wajib Program Studi Sarjana Terapan?,Kegiatan magang wajib Program Studi Sarjana Terapan dilaksanakan selama 1 (satu) semester atau setara dengan 20 (dua puluh) SKS.,
MASA DAN BEBAN BELAJAR,Di mana kegiatan magang wajib Program Studi Sarjana Terapan harus dilaksanakan?,"Kegiatan magang wajib Program Studi Sarjana Terapan harus dilaksanakan di dunia usaha, dunia industri, atau dunia kerja yang relevan.",
PROSES PEMBELAJARAN,"Berdasarkan ketentuan yang ada, di mana saja proses pembelajaran dapat dilaksanakan?",Proses pembelajaran dapat dilaksanakan di dalam Program Studi dan di luar Program Studi.,
PROSES PEMBELAJARAN,Siapakah pihak yang bertanggung jawab untuk melakukan evaluasi dan analisis terhadap proses pembelajaran?,Pihak yang bertanggung jawab adalah program studi melalui Gugus Penjaminan Mutu Program Studi.,
PROSES PEMBELAJARAN,Apa tujuan dilakukannya evaluasi dan analisis terhadap proses pembelajaran oleh program studi?,Tujuan dilakukannya evaluasi dan analisis tersebut adalah sebagai upaya perbaikan berkelanjutan dalam implementasi penjaminan mutu.,
PROSES PEMBELAJARAN,"Informasi apa saja yang setidaknya harus dimuat dalam kalender akademik tahunan yang diterbitkan oleh Rektor UPN ""Veteran"" Jawa Timur?","Kalender akademik sekurang-kurangnya memuat masa pendaftaran, ujian seleksi, pengumuman hasil seleksi penerimaan mahasiswa baru; jadwal registrasi (administratif dan akademik) mahasiswa baru; jadwal kegiatan awal mahasiswa baru; jadwal registrasi administrasi dan akademik mahasiswa lama; periode perkuliahan; jadwal Evaluasi Tengah Semester (ETS) dan Evaluasi Akhir Semester (EAS); jadwal KKN; periode ujian tugas akhir/skripsi; serta jadwal yudisium dan wisuda.",
PROSES PEMBELAJARAN,Bagaimana perencanaan pembelajaran disusun dan disajikan sesuai ketentuan yang berlaku?,Perencanaan pembelajaran disusun untuk setiap mata kuliah dan disajikan dalam Rencana Pembelajaran Semester (RPS).,
PROSES PEMBELAJARAN,Dalam bentuk apa perencanaan pembelajaran disajikan dan untuk setiap apa perencanaan tersebut disusun?,Perencanaan pembelajaran disajikan dalam Rencana Pembelajaran Semester (RPS) dan disusun untuk setiap mata kuliah.,
PROSES PEMBELAJARAN,Siapa pihak yang bertanggung jawab dalam penetapan dan pengembangan Rencana Pembelajaran Semester (RPS)?,Rencana Pembelajaran Semester (RPS) ditetapkan dan dikembangkan oleh Dosen secara mandiri atau bersama dalam kelompok keahlian suatu bidang Ilmu pengetahuan dan/atau teknologi dalam Program Studi.,
PROSES PEMBELAJARAN,Siapa yang memiliki tanggung jawab dalam penetapan dan pengembangan Rencana Pembelajaran Semester (RPS)?,Rencana Pembelajaran Semester (RPS) ditetapkan dan dikembangkan oleh Dosen secara mandiri atau bersama dalam kelompok keahlian suatu bidang Ilmu pengetahuan dan/atau teknologi dalam Program Studi.,
PROSES PEMBELAJARAN,Apa saja komponen minimal yang wajib dimuat dalam Rencana Pembelajaran Semester (RPS)?,"Rencana Pembelajaran Semester paling sedikit memuat: nama Program Studi, nama dan kode mata kuliah, semester, sks, nama dosen pengampu; capaian pembelajaran lulusan yang dibebankan pada mata kuliah; kemampuan akhir yang direncanakan pada tiap tahap pembelajaran untuk memenuhi capaian pembelajaran; bahan kajian yang terkait dengan kemampuan yang akan dicapai; metode pembelajaran; waktu yang disediakan untuk mencapai kemampuan pada tiap tahap pembelajaran; pengalaman belajar mahasiswa yang diwujudkan dalam deskripsi tugas yang harus dikerjakan oleh mahasiswa selama satu semester; kriteria, indikator, dan bobot penilaian; dan daftar referensi yang digunakan.",
PROSES PEMBELAJARAN,Siapa yang bertanggung jawab untuk memantau dan mengevaluasi pelaksanaan Rencana Pembelajaran Semester (RPS) sebagai bagian dari proses penjaminan mutu?,Pemantauan dan evaluasi pelaksanaan RPS dilakukan oleh Gugus Penjaminan Mutu Program Studi di bawah tanggung jawab Koordinator Program Studi.,
PROSES PEMBELAJARAN,Mengapa Rencana Pembelajaran Semester wajib ditinjau dan disesuaikan secara berkala?,"Rencana Pembelajaran Semester wajib ditinjau dan disesuaikan secara berkala dengan perkembangan ilmu pengetahuan, teknologi, humaniora, dan seni.",
PROSES PEMBELAJARAN,Informasi apa saja yang setidaknya harus tercakup dalam penetapan jadwal kuliah?,"Jadwal kuliah setidaknya mencakup nama mata kuliah dan kelas, koordinator mata kuliah, hari dan jam kuliah, tempat/ruang kuliah, serta dosen pengampu.",
PROSES PEMBELAJARAN,Pihak mana yang bertanggung jawab untuk menetapkan jadwal Mata Kuliah Umum dan Mata Kuliah yang ada di Prodi?,"Jadwal Mata Kuliah Umum ditetapkan oleh Universitas, sedangkan Mata Kuliah yang ada di Prodi ditetapkan oleh Fakultas.",
PROSES PEMBELAJARAN,Bagaimana metode pelaksanaan perkuliahan dapat dilakukan dan dalam kondisi apa perkuliahan daring diperbolehkan?,Perkuliahan dilakukan secara tatap muka langsung (offline) dan dapat dilakukan melalui dalam jaringan/daring (online) pada kondisi khusus.,
PROSES PEMBELAJARAN,Materi apa yang wajib disampaikan oleh dosen di awal pembelajaran kelas dan berapa durasi penyampaiannya?,"Dosen wajib mengawali pembelajaran di kelas dengan memberikan pesan tentang adab, moral, etika, dan bela negara kepada mahasiswa selama kurang lebih 5-10 menit.",
PROSES PEMBELAJARAN,Berapakah total beban belajar yang setara dengan 1 (satu) SKS dalam satu semester?,Total beban belajar yang setara dengan 1 (satu) SKS dalam satu semester adalah 45 (empat puluh lima) jam.,
PROSES PEMBELAJARAN,Apa saja komponen kegiatan dan alokasi waktu per minggu per semester untuk 1 (satu) SKS pada proses pembelajaran berupa kuliah atau tutorial?,"Untuk 1 (satu) SKS pada proses pembelajaran berupa kuliah atau tutorial, komponen kegiatannya per minggu per semester terdiri atas tatap muka 50 (lima puluh) menit, penugasan terstruktur 60 (enam puluh) menit, dan kegiatan mandiri 60 (enam puluh) menit.",
PROSES PEMBELAJARAN,Bagaimanakah komposisi waktu kegiatan per minggu per semester untuk 1 (satu) SKS pada proses pembelajaran berupa seminar atau bentuk lain yang sejenis?,Komposisi waktu kegiatan per minggu per semester untuk 1 (satu) SKS pada proses pembelajaran berupa seminar atau bentuk lain yang sejenis adalah kegiatan tatap muka 100 (seratus) menit dan kegiatan mandiri 70 (tujuh puluh) menit.,
PROSES PEMBELAJARAN,"Berapa durasi waktu untuk 1 (satu) sks pada proses pembelajaran yang berupa praktikum, magang, atau bentuk pembelajaran sejenis lainnya?","1 (satu) sks pada proses pembelajaran yang berupa praktikum, praktik studio, praktik bengkel, praktik lapangan, penelitian, pengabdian kepada masyarakat, magang dan/atau bentuk pembelajaran lain yang sejenis adalah 170 (seratus tujuh puluh) menit per minggu per semester.",
PROSES PEMBELAJARAN,Kapan seorang mahasiswa dapat memiliki status aktif?,Mahasiswa memiliki status aktif apabila telah melakukan registrasi administratif dan registrasi akademik.,
PROSES PEMBELAJARAN,Dalam kondisi seperti apa registrasi administratif mahasiswa dapat dibatalkan?,Registrasi administratif mahasiswa bisa dibatalkan jika ternyata mahasiswa tidak mampu memenuhi persyaratan tahapan evaluasi pembelajaran.,
PROSES PEMBELAJARAN,Dalam kondisi apa registrasi administratif seorang mahasiswa dapat dibatalkan?,Registrasi administratif mahasiswa bisa dibatalkan jika mahasiswa tidak mampu memenuhi persyaratan tahapan evaluasi pembelajaran.,
PROSES PEMBELAJARAN,Bagaimana tata cara pelaksanaan registrasi akademik bagi mahasiswa?,Registrasi akademik dilaksanakan dengan melakukan pengisian Kartu Rencana Studi (KRS) melalui SIAMIK secara online sesuai dengan kurikulum yang berlaku untuk mahasiswa tersebut.,
PROSES PEMBELAJARAN,Faktor apa yang menjadi penentu jumlah Satuan Kredit Semester (SKS) yang dapat diambil mahasiswa?,Jumlah SKS yang dapat diambil disesuaikan dengan Indeks Prestasi Semester (IPS) pada semester terakhir mahasiswa tersebut aktif.,
PROSES PEMBELAJARAN,Berapa jumlah SKS maksimal yang dapat diambil oleh mahasiswa baru pada semester 1 dan 2?,Jumlah SKS maksimal yang dapat diambil oleh mahasiswa baru pada semester 1 dan 2 adalah 20 SKS.,
PROSES PEMBELAJARAN,Dalam kondisi apa Kartu Rencana Studi (KRS) mahasiswa tidak akan disetujui oleh pembimbing akademik?,"Kartu Rencana Studi (KRS) tidak akan disetujui oleh pembimbing akademik apabila mahasiswa mengambil mata kuliah dengan jadwal yang berbenturan, mengambil mata kuliah yang prasyaratnya belum terpenuhi, atau mengambil SKS melebihi jumlah yang diperbolehkan.",
PROSES PEMBELAJARAN,Apa langkah yang harus diambil oleh mahasiswa apabila Kartu Rencana Studi (KRS) mereka ditolak?,"Apabila Kartu Rencana Studi (KRS) ditolak, mahasiswa wajib memperbaiki KRS tersebut dan mengajukannya kembali untuk memperoleh persetujuan.",
PROSES PEMBELAJARAN,Apa yang wajib dilakukan mahasiswa apabila Kartu Rencana Studinya (KRS) ditolak?,"Apabila Kartu Rencana Studinya (KRS) ditolak, mahasiswa wajib memperbaiki KRS dan diajukan kembali untuk memperoleh persetujuan.",
PROSES PEMBELAJAN,"Kapan batas waktu terakhir bagi mahasiswa untuk melakukan penggantian atau pembatalan mata kuliah, dan persetujuan siapa yang diperlukan?","Penggantian mata kuliah dapat dilakukan selambat-lambatnya 1 (satu) minggu setelah kegiatan perkuliahan dimulai, sementara pembatalan mata kuliah dapat dilakukan selambat-lambatnya pada akhir minggu ke-4 (empat) setelah kegiatan perkuliahan dimulai. Baik penggantian maupun pembatalan mata kuliah harus mendapatkan persetujuan Pembimbing Akademik (PA).",
PROSES PEMBELAJARAN,Bagaimana status mahasiswa yang tidak melakukan registrasi akademik sampai 1 (satu) minggu setelah kegiatan perkuliahan berjalan?,Mahasiswa yang tidak melakukan registrasi akademik sampai dengan 1 (satu) minggu setelah kegiatan perkuliahan berjalan dinyatakan berstatus sebagai mahasiswa tidak aktif.,
PROSES PEMBELAJARAN,Bagaimana karakteristik umum metode pembelajaran?,"Metode pembelajaran bersifat interaktif, holistik, integratif, saintifik, kontekstual, tematik, efektif, kolaboratif, dan berpusat pada mahasiswa.",
PROSES PEMBELAJARAN,Apakah yang dimaksud dengan metode pembelajaran yang bersifat interaktif?,Metode pembelajaran yang bersifat interaktif mengutamakan proses interaksi dua arah antara mahasiswa dan Dosen.,
PROSES PEMBELAJARAN,Bagaimana pola pikir yang diharapkan terbentuk melalui metode pembelajaran holistik?,Melalui metode pembelajaran holistik diharapkan terbentuk pola pikir yang komprehensif dan luas dengan menginternalisasi keunggulan dan kearifan lokal maupun nasional.,
PROSES PEMBELAJARAN,Apa yang dimaksud dengan pembelajaran Tematik?,Pembelajaran Tematik adalah pembelajaran yang disesuaikan dengan karakteristik keilmuan Program Studi dan dikaitkan dengan permasalahan nyata melalui pendekatan transdisiplin.,
PROSES PEMBELAJARAN,Bagaimana suatu pembelajaran dapat dikatakan Efektif?,Pembelajaran dikatakan Efektif jika berhasil guna dengan mementingkan internalisasi material secara baik dan benar dalam kurun waktu yang optimum.,
PROSES PEMBELAJARAN,Aspek apa saja yang diutamakan dalam pembelajaran yang berpusat pada mahasiswa?,"Pembelajaran yang berpusat pada mahasiswa mengutamakan pengembangan kreativitas, kapasitas, kepribadian, dan kebutuhan mahasiswa, serta mengembangkan kemandirian dalam mencari dan menemukan pengetahuan.",
PROSES PEMBELAJARAN,Metode pembelajaran apa yang menjadi prioritas utama dalam penyelenggaraan proses pembelajaran?,Metode pembelajaran yang diutamakan dalam penyelenggaraan proses pembelajaran adalah Student Centered Learning (SCL).,
PROSES PEMBELAJARAN,Sebutkan beberapa contoh metode Student Centered Learning (SCL) yang diutamakan dalam proses pembelajaran.,"Beberapa contoh metode Student Centered Learning (SCL) yang diutamakan adalah pembelajaran berbasis masalah/studi kasus, pembelajaran berbasis proyek, interactive skill (diskusi kelompok, bermain peran, dan simulasi), pembelajaran kolaboratif, serta pembelajaran kooperatif.",
PROSES PEMBELAJARAN,Bentuk-bentuk pembelajaran apa saja yang dapat dilakukan dalam penyelenggaraan proses pembelajaran?,"Bentuk pembelajaran yang dapat dilakukan meliputi kuliah, responsi, tutorial, seminar, praktikum, praktik studio, praktik bengkel, praktik lapangan, praktik kerja, penelitian, perancangan, dan pengabdian masyarakat.",
PROSES PEMBELAJARAN,Apa saja bentuk proses pembelajaran yang termasuk dalam kategori pembelajaran di luar Program Studi?,"Bentuk proses pembelajaran yang termasuk dalam kategori pembelajaran di luar Program Studi adalah pembelajaran dalam Program Studi lain pada Perguruan Tinggi yang sama, pembelajaran dalam Program Studi yang sama pada Perguruan Tinggi yang berbeda, pembelajaran dalam Program Studi lain pada Perguruan Tinggi yang berbeda, dan pembelajaran pada lembaga non-Perguruan Tinggi.",
PROSES PEMBELAJARAN,"Bagaimana pelaksanaan proses pembelajaran di luar Program Studi untuk jenis pembelajaran dalam Program Studi yang sama pada Perguruan Tinggi yang berbeda, pembelajaran dalam Program Studi lain pada Perguruan Tinggi yang berbeda, dan pembelajaran pada lembaga non-Perguruan Tinggi?",Pelaksanaan proses pembelajaran di luar Program Studi untuk jenis tersebut dilakukan berdasarkan perjanjian kerja sama atau Memorandum of Understanding (MoU) antara Perguruan Tinggi dengan Perguruan Tinggi atau lembaga lain yang terkait.,
PROSES PEMBELAJARAN,Siapakah pihak yang memiliki kewenangan untuk menentukan kegiatan dalam program proses pembelajaran di luar Program Studi?,Pihak yang dapat menentukan kegiatan dalam program proses pembelajaran di luar Program Studi adalah Kementerian dan/atau pemimpin Perguruan Tinggi.,
PROSES PEMBELAJARAN,Siapa yang berwenang menentukan kegiatan dalam program proses pembelajaran di luar Program Studi?,Kegiatan dalam program proses pembelajaran di luar Program Studi dapat ditentukan oleh Kementerian dan/atau pemimpin Perguruan Tinggi.,
PROSES PEMBELAJARAN,Apa saja bentuk kegiatan pembelajaran yang dapat dilaksanakan di luar Program Studi?,"Bentuk kegiatan pembelajaran di luar Program Studi meliputi kegiatan pertukaran mahasiswa dalam mengambil mata kuliah, magang/praktik kerja, proyek di desa/KKN Tematik, penelitian/riset, kegiatan wirausaha, studi proyek independen, proyek kemanusiaan, mengajar di sekolah/satuan pendidikan, dan komponen cadangan.",
PROSES PEMBELAJARAN,Bagaimana mekanisme pengakuan hasil kegiatan pembelajaran di luar Program Studi?,Hasil kegiatan pembelajaran di luar Program Studi diakui melalui mekanisme transfer sks (Credit Transfer) atau perolehan sks (Earning Credit).,
PROSES PEMBELAJARAN,Siapa yang bertanggung jawab memberikan bimbingan untuk kegiatan pembelajaran di luar Program Studi?,Kegiatan pembelajaran di luar Program Studi dilaksanakan di bawah bimbingan Dosen.,
PROSES PEMBELAJARAN,Setelah menempuh berapa semester mahasiswa dapat mengikuti proses pembelajaran di luar Program Studi?,"Mahasiswa dapat mengikuti proses pembelajaran di luar Program Studi minimal setelah menempuh 3 Semester, kecuali bagi Program Merdeka Belajar-Kampus Merdeka (MBKM) yang persyaratannya ditentukan oleh Kementerian.",
PROSES PEMBELAJARAN,Berapa persentase minimal keaktifan mahasiswa dalam mengikuti pelajaran dari aktivitas akademik terjadwal?,Mahasiswa wajib mengikuti pelajaran secara aktif paling sedikit 90 (sembilan puluh) persen dari aktivitas akademik terjadwal.,
